product_id,categories,colors,materials,design_styles,usages,genders
1,پوشاک و اکسسوری,فلزی,پارچه,فانتزی و خاص,دکور,زنانه
2,لوازم سفر و گردشگری,فلزی,پارچه,مدرن,شخصی,مردانه
3,الکترونیک,خنثی,خاص,لوکس و رسمی,شخصی,مردانه
4,ورزش و تناسب اندام,روشن و شاد,خاص,کلاسیک,شخصی,مردانه
5,الکترونیک,خنثی,چوبی,کلاسیک,سرگرمی,زنانه
6,الکترونیک,ثانویه,چوبی,مدرن,کاری,خنثی
7,الکترونیک,خنثی,چوبی,مدرن,شخصی,خنثی
8,پوشاک و اکسسوری,خنثی,پارچه,کلاسیک,شخصی,مردانه
9,زیبایی و بهداشت,تیره و لوکس,شیشه و سرامیک,منطقه ای,شخصی,زنانه
10,الکترونیک,خنثی,پارچه,کلاسیک,سلامت,زنانه
11,الکترونیک,خنثی,فلزات,کلاسیک,تکنولوژی,مردانه
12,پوشاک و اکسسوری,روشن و شاد,فلزات,فانتزی و خاص,کاری,مردانه
13,الکترونیک,تیره و لوکس,شیشه و سرامیک,فانتزی و خاص,کاری,زنانه
14,پوشاک و اکسسوری,طبیعی,چوبی,منطقه ای,کاری,مردانه
15,پوشاک و اکسسوری,تیره و لوکس,فلزات,هنری,دکور,زنانه
16,الکترونیک,طبیعی,خاص,طبیعت محور,شخصی,مردانه
17,پازل ها و بازی ها,فلزی,ترکیبی,کلاسیک,تکنولوژی,خنثی
18,لوازم سفر و گردشگری,فلزی,پارچه,فانتزی و خاص,سلامت,زنانه
19,زیبایی و بهداشت,روشن و شاد,پارچه,کلاسیک,تناسب اندام,زنانه
20,الکترونیک,خنثی,فلزات,کلاسیک,شخصی,مردانه
21,الکترونیک,فلزی,پلاستیک,طبیعت محور,کاری,مردانه
22,پوشاک و اکسسوری,خنثی,چوبی,مدرن,شخصی,خنثی
23,خانه و دکور,فلزی,چوبی,کلاسیک,شخصی,مردانه
24,الکترونیک,خنثی,چوبی,لوکس و رسمی,سلامت,زنانه
25,الکترونیک,اصلی,پارچه,کلاسیک,کاری,مردانه
26,زیبایی و بهداشت,تیره و لوکس,چوبی,هنری,شخصی,مردانه
27,الکترونیک,خنثی,پارچه,لوکس و رسمی,کاری,خنثی
28,کتاب و محصولات آموزشی,ثانویه,خاص,فانتزی و خاص,دکور,زنانه
29,لوازم سفر و گردشگری,ثانویه,فلزات,کلاسیک,شخصی,زنانه
30,زیبایی و بهداشت,ثانویه,پارچه,طبیعت محور,تکنولوژی,زنانه
31,الکترونیک,خنثی,پارچه,مدرن,شخصی,زنانه
32,پوشاک و اکسسوری,اصلی,چوبی,منطقه ای,شخصی,مردانه
33,الکترونیک,خنثی,چوبی,کلاسیک,دکور,مردانه
34,لوازم سفر و گردشگری,روشن و شاد,چوبی,کلاسیک,شخصی,زنانه
35,پوشاک و اکسسوری,فلزی,پارچه,طبیعت محور,شخصی,مردانه
36,ورزش و تناسب اندام,خنثی,ترکیبی,کلاسیک,شخصی,زنانه
37,الکترونیک,تیره و لوکس,چوبی,کلاسیک,شخصی,زنانه
38,الکترونیک,ثانویه,فلزات,کلاسیک,سلامت,مردانه
39,لوازم سفر و گردشگری,خنثی,ترکیبی,مدرن,دکور,زنانه
40,ورزش و تناسب اندام,خنثی,پلاستیک,منطقه ای,شخصی,زنانه
41,پوشاک و اکسسوری,خنثی,فلزات,کلاسیک,سلامت,مردانه
42,الکترونیک,تیره و لوکس,ترکیبی,کلاسیک,سرگرمی,زنانه
43,لوازم سفر و گردشگری,خنثی,چوبی,مدرن,تکنولوژی,مردانه
44,لوازم سفر و گردشگری,خنثی,شیشه و سرامیک,مدرن,شخصی,زنانه
45,الکترونیک,خنثی,پارچه,کلاسیک,تکنولوژی,مردانه
46,الکترونیک,فلزی,خاص,هنری,سلامت,زنانه
47,خانه و دکور,اصلی,پارچه,کلاسیک,سلامت,مردانه
48,لوازم سفر و گردشگری,طبیعی,پلاستیک,کلاسیک,شخصی,زنانه
49,لوازم سفر و گردشگری,فلزی,شیشه و سرامیک,لوکس و رسمی,تناسب اندام,خنثی
50,الکترونیک,خنثی,ترکیبی,کلاسیک,تناسب اندام,مردانه
51,پازل ها و بازی ها,طبیعی,چوبی,لوکس و رسمی,شخصی,زنانه
52,پوشاک و اکسسوری,ثانویه,پلاستیک,لوکس و رسمی,تناسب اندام,مردانه
53,الکترونیک,فلزی,پارچه,منطقه ای,شخصی,خنثی
54,لوازم سفر و گردشگری,خنثی,پارچه,هنری,تناسب اندام,مردانه
55,زیبایی و بهداشت,فلزی,ترکیبی,مدرن,کاری,زنانه
56,پوشاک و اکسسوری,روشن و شاد,پارچه,کلاسیک,تناسب اندام,زنانه
57,الکترونیک,فلزی,خاص,کلاسیک,سرگرمی,مردانه
58,پازل ها و بازی ها,فلزی,پلاستیک,لوکس و رسمی,شخصی,مردانه
59,پازل ها و بازی ها,طبیعی,چوبی,فانتزی و خاص,شخصی,زنانه
60,الکترونیک,فلزی,فلزات,کلاسیک,سلامت,خنثی
61,لوازم سفر و گردشگری,تیره و لوکس,فلزات,فانتزی و خاص,شخصی,زنانه
62,پوشاک و اکسسوری,تیره و لوکس,چوبی,منطقه ای,سلامت,خنثی
63,لوازم سفر و گردشگری,طبیعی,چوبی,منطقه ای,شخصی,زنانه
64,لوازم سفر و گردشگری,خنثی,پارچه,کلاسیک,شخصی,زنانه
65,الکترونیک,فلزی,ترکیبی,مدرن,کاری,مردانه
66,پوشاک و اکسسوری,طبیعی,چوبی,کلاسیک,شخصی,مردانه
67,الکترونیک,خنثی,خاص,کلاسیک,دکور,مردانه
68,خانه و دکور,اصلی,ترکیبی,مدرن,شخصی,مردانه
69,الکترونیک,تیره و لوکس,پارچه,کلاسیک,شخصی,مردانه
70,زیبایی و بهداشت,روشن و شاد,پارچه,کلاسیک,شخصی,خنثی
71,الکترونیک,خنثی,چوبی,لوکس و رسمی,دکور,مردانه
72,پوشاک و اکسسوری,خنثی,فلزات,کلاسیک,شخصی,مردانه
73,پوشاک و اکسسوری,فلزی,پارچه,منطقه ای,تناسب اندام,مردانه
74,الکترونیک,اصلی,خاص,لوکس و رسمی,سلامت,مردانه
75,پوشاک و اکسسوری,طبیعی,چوبی,کلاسیک,شخصی,مردانه
76,الکترونیک,طبیعی,پارچه,کلاسیک,سلامت,مردانه
77,خانه و دکور,طبیعی,چوبی,کلاسیک,کاری,مردانه
78,خانه و دکور,تیره و لوکس,پارچه,لوکس و رسمی,سلامت,مردانه
79,زیبایی و بهداشت,خنثی,چوبی,طبیعت محور,سلامت,زنانه
80,الکترونیک,روشن و شاد,چوبی,کلاسیک,شخصی,خنثی
81,الکترونیک,خنثی,چوبی,کلاسیک,شخصی,مردانه
82,الکترونیک,روشن و شاد,چوبی,لوکس و رسمی,شخصی,مردانه
83,پوشاک و اکسسوری,فلزی,پارچه,طبیعت محور,کاری,مردانه
84,الکترونیک,تیره و لوکس,خاص,کلاسیک,کاری,مردانه
85,الکترونیک,خنثی,خاص,کلاسیک,شخصی,زنانه
86,الکترونیک,خنثی,پارچه,کلاسیک,شخصی,زنانه
87,الکترونیک,ثانویه,فلزات,لوکس و رسمی,کاری,مردانه
88,لوازم سفر و گردشگری,ثانویه,چوبی,فانتزی و خاص,سرگرمی,زنانه
89,الکترونیک,ثانویه,خاص,طبیعت محور,شخصی,مردانه
90,خانه و دکور,خنثی,فلزات,فانتزی و خاص,سلامت,مردانه
91,الکترونیک,تیره و لوکس,پارچه,فانتزی و خاص,شخصی,زنانه
92,کتاب و محصولات آموزشی,خنثی,پارچه,کلاسیک,سلامت,مردانه
93,لوازم سفر و گردشگری,خنثی,ترکیبی,طبیعت محور,شخصی,مردانه
94,الکترونیک,روشن و شاد,پارچه,کلاسیک,سرگرمی,مردانه
95,الکترونیک,تیره و لوکس,پارچه,مدرن,سرگرمی,مردانه
96,الکترونیک,خنثی,چوبی,کلاسیک,شخصی,زنانه
97,زیبایی و بهداشت,فلزی,خاص,کلاسیک,شخصی,زنانه
98,کتاب و محصولات آموزشی,خنثی,پارچه,منطقه ای,دکور,مردانه
99,خانه و دکور,فلزی,خاص,طبیعت محور,سلامت,مردانه
100,پوشاک و اکسسوری,خنثی,پارچه,مدرن,سرگرمی,مردانه
101,پازل ها و بازی ها,فلزی,پارچه,کلاسیک,تکنولوژی,زنانه
102,پوشاک و اکسسوری,تیره و لوکس,چوبی,کلاسیک,شخصی,مردانه
103,زیبایی و بهداشت,خنثی,فلزات,منطقه ای,شخصی,مردانه
104,خانه و دکور,طبیعی,شیشه و سرامیک,کلاسیک,کاری,مردانه
105,الکترونیک,تیره و لوکس,پارچه,طبیعت محور,شخصی,مردانه
106,خانه و دکور,فلزی,چوبی,مدرن,سلامت,مردانه
107,الکترونیک,تیره و لوکس,شیشه و سرامیک,منطقه ای,شخصی,مردانه
108,پوشاک و اکسسوری,فلزی,چوبی,لوکس و رسمی,سرگرمی,مردانه
109,لوازم سفر و گردشگری,فلزی,ترکیبی,طبیعت محور,تکنولوژی,مردانه
110,کتاب و محصولات آموزشی,تیره و لوکس,ترکیبی,فانتزی و خاص,سلامت,مردانه
111,پازل ها و بازی ها,روشن و شاد,پارچه,کلاسیک,تناسب اندام,مردانه
112,الکترونیک,طبیعی,فلزات,فانتزی و خاص,شخصی,خنثی
113,الکترونیک,تیره و لوکس,پارچه,هنری,کاری,زنانه
114,الکترونیک,خنثی,پارچه,طبیعت محور,سرگرمی,زنانه
115,الکترونیک,خنثی,شیشه و سرامیک,کلاسیک,شخصی,مردانه
116,لوازم سفر و گردشگری,خنثی,پارچه,مدرن,سرگرمی,مردانه
117,الکترونیک,ثانویه,شیشه و سرامیک,کلاسیک,سلامت,مردانه
118,لوازم سفر و گردشگری,خنثی,چوبی,منطقه ای,شخصی,مردانه
119,خانه و دکور,ثانویه,خاص,کلاسیک,تناسب اندام,مردانه
120,خانه و دکور,خنثی,شیشه و سرامیک,مدرن,شخصی,مردانه
121,لوازم سفر و گردشگری,فلزی,چوبی,مدرن,سرگرمی,خنثی
122,الکترونیک,طبیعی,فلزات,لوکس و رسمی,شخصی,مردانه
123,پوشاک و اکسسوری,طبیعی,خاص,طبیعت محور,شخصی,مردانه
124,خانه و دکور,خنثی,پلاستیک,مدرن,دکور,مردانه
125,الکترونیک,خنثی,پارچه,هنری,شخصی,زنانه
126,خانه و دکور,روشن و شاد,چوبی,طبیعت محور,شخصی,مردانه
127,الکترونیک,اصلی,پارچه,کلاسیک,شخصی,مردانه
128,الکترونیک,اصلی,فلزات,فانتزی و خاص,شخصی,زنانه
129,لوازم سفر و گردشگری,تیره و لوکس,فلزات,فانتزی و خاص,کاری,مردانه
130,الکترونیک,خنثی,چوبی,طبیعت محور,شخصی,مردانه
131,زیبایی و بهداشت,خنثی,چوبی,هنری,شخصی,مردانه
132,زیبایی و بهداشت,طبیعی,پارچه,کلاسیک,شخصی,زنانه
133,الکترونیک,فلزی,ترکیبی,کلاسیک,شخصی,خنثی
134,الکترونیک,طبیعی,ترکیبی,مدرن,شخصی,مردانه
135,کتاب و محصولات آموزشی,فلزی,چوبی,کلاسیک,سلامت,مردانه
136,لوازم سفر و گردشگری,طبیعی,فلزات,کلاسیک,شخصی,مردانه
137,لوازم سفر و گردشگری,فلزی,پارچه,فانتزی و خاص,کاری,مردانه
138,الکترونیک,روشن و شاد,پارچه,کلاسیک,شخصی,مردانه
139,الکترونیک,خنثی,پارچه,منطقه ای,دکور,مردانه
140,لوازم سفر و گردشگری,تیره و لوکس,ترکیبی,طبیعت محور,شخصی,زنانه
141,لوازم سفر و گردشگری,طبیعی,پارچه,مدرن,شخصی,مردانه
142,الکترونیک,تیره و لوکس,پارچه,مدرن,شخصی,مردانه
143,پازل ها و بازی ها,تیره و لوکس,چوبی,لوکس و رسمی,شخصی,مردانه
144,پوشاک و اکسسوری,اصلی,خاص,مدرن,شخصی,زنانه
145,الکترونیک,تیره و لوکس,ترکیبی,کلاسیک,تکنولوژی,مردانه
146,ورزش و تناسب اندام,طبیعی,پارچه,لوکس و رسمی,شخصی,زنانه
147,زیبایی و بهداشت,خنثی,پلاستیک,مدرن,شخصی,زنانه
148,خانه و دکور,فلزی,چوبی,طبیعت محور,شخصی,مردانه
149,زیبایی و بهداشت,خنثی,چوبی,کلاسیک,شخصی,مردانه
150,خانه و دکور,تیره و لوکس,پارچه,فانتزی و خاص,سرگرمی,مردانه
