user_id,age,gender,category_1,category_2,category_3,psychological_traits,favorite_material,favorite_design,occasions,relationship
1,47,مرد,الکترونیک,لوازم سفر و گردشگری,خانه و دکور,برون گرا,خاص,لوکس و رسمی,تولد,همسر
2,17,مرد,ورزش و تناسب اندام,پازل ها و بازی ها,خانه و دکور,منطقی و تحلیل گر,ترکیبی,کلاسیک,سالگرد,خانواده
3,4,مرد,زیبایی و بهداشت,الکترونیک,الکترونیک,ماجراجو و ورزشکار,فلزات,هنری,جشن فارغ التحصیلی,آشنا
4,9,زن,خانه و دکور,لوازم سفر و گردشگری,پوشاک و اکسسوری,برون گرا,خاص,مدرن,تولد,افراد خاص
5,29,مرد,الکترونیک,خانه و دکور,لوازم سفر و گردشگری,منطقی و تحلیل گر,چوبی,مدرن,عروسی,خانواده
6,17,مرد,ورزش و تناسب اندام,خانه و دکور,الکترونیک,برون گرا,خاص,طبیعت محور,دیگر,دوست
7,46,مرد,خانه و دکور,پوشاک و اکسسوری,ورزش و تناسب اندام,خلاق و هنری,شیشه و سرامیک,هنری,عروسی,همکار
8,8,مرد,پازل ها و بازی ها,الکترونیک,ورزش و تناسب اندام,درون گرا,چوبی,مدرن,دیگر,دوست
9,63,مرد,پازل ها و بازی ها,کتاب و محصولات آموزشی,الکترونیک,برون گرا,چوبی,لوکس و رسمی,عروسی,پارتنر
10,56,زن,الکترونیک,پازل ها و بازی ها,لوازم سفر و گردشگری,برون گرا,ترکیبی,منطقه ای,تولد,دوست
11,5,مرد,لوازم سفر و گردشگری,کتاب و محصولات آموزشی,ورزش و تناسب اندام,خلاق و هنری,پارچه,لوکس و رسمی,تولد,آشنا
12,25,مرد,الکترونیک,الکترونیک,ورزش و تناسب اندام,ماجراجو و ورزشکار,پارچه,کلاسیک,مناسبت فردی,دوست
13,50,مرد,پازل ها و بازی ها,زیبایی و بهداشت,الکترونیک,منطقی و تحلیل گر,خاص,طبیعت محور,تولد,خانواده
14,25,زن,پوشاک و اکسسوری,لوازم سفر و گردشگری,ورزش و تناسب اندام,خلاق و هنری,پارچه,مدرن,دیگر,آشنا
15,31,زن,لوازم سفر و گردشگری,الکترونیک,الکترونیک,خلاق و هنری,پارچه,مدرن,تولد,همسر
16,38,مرد,لوازم سفر و گردشگری,لوازم سفر و گردشگری,پازل ها و بازی ها,منطقی و تحلیل گر,چوبی,منطقه ای,مناسبت فردی,همسر
17,60,زن,ورزش و تناسب اندام,لوازم سفر و گردشگری,الکترونیک,ماجراجو و ورزشکار,چوبی,مدرن,مناسبت فردی,آشنا
18,12,زن,پازل ها و بازی ها,لوازم سفر و گردشگری,الکترونیک,احساسی و حمایتی,خاص,مدرن,تولد,دوست
19,70,زن,الکترونیک,پوشاک و اکسسوری,خانه و دکور,برون گرا,چوبی,مدرن,مناسبت فردی,دوست
20,48,مرد,زیبایی و بهداشت,ورزش و تناسب اندام,ورزش و تناسب اندام,برون گرا,پارچه,مدرن,سالگرد,دوست
21,61,مرد,پازل ها و بازی ها,زیبایی و بهداشت,پازل ها و بازی ها,لوکس گرا و شیک,فلزات,کلاسیک,دیگر,دوست
22,9,زن,خانه و دکور,پازل ها و بازی ها,زیبایی و بهداشت,احساسی و حمایتی,پلاستیک,مدرن,مناسبت فردی,خانواده
23,66,مرد,پازل ها و بازی ها,خانه و دکور,لوازم سفر و گردشگری,درون گرا,خاص,مدرن,جشن فارغ التحصیلی,خانواده
24,20,مرد,پازل ها و بازی ها,خانه و دکور,پازل ها و بازی ها,ماجراجو و ورزشکار,خاص,منطقه ای,تولد,خانواده
25,43,مرد,لوازم سفر و گردشگری,پوشاک و اکسسوری,لوازم سفر و گردشگری,خلاق و هنری,پارچه,لوکس و رسمی,تولد,دوست
26,31,زن,پوشاک و اکسسوری,پازل ها و بازی ها,لوازم سفر و گردشگری,ماجراجو و ورزشکار,خاص,کلاسیک,دیگر,دوست
27,4,زن,لوازم سفر و گردشگری,الکترونیک,ورزش و تناسب اندام,برون گرا,چوبی,کلاسیک,ارتقا کاری,دوست
28,66,مرد,الکترونیک,ورزش و تناسب اندام,پازل ها و بازی ها,منطقی و تحلیل گر,چوبی,فانتزی و خاص,مناسبت فردی,خانواده
29,14,زن,ورزش و تناسب اندام,پوشاک و اکسسوری,لوازم سفر و گردشگری,خلاق و هنری,خاص,مدرن,سالگرد,دوست
30,26,مرد,لوازم سفر و گردشگری,الکترونیک,لوازم سفر و گردشگری,درون گرا,ترکیبی,لوکس و رسمی,سالگرد,همسر
31,47,زن,الکترونیک,ورزش و تناسب اندام,خانه و دکور,برون گرا,چوبی,مدرن,دیگر,پارتنر
32,48,زن,الکترونیک,زیبایی و بهداشت,خانه و دکور,برون گرا,پلاستیک,فانتزی و خاص,تولد,خانواده
33,38,زن,الکترونیک,ورزش و تناسب اندام,پازل ها و بازی ها,برون گرا,ترکیبی,هنری,دیگر,خانواده
34,36,مرد,پازل ها و بازی ها,پوشاک و اکسسوری,لوازم سفر و گردشگری,خلاق و هنری,فلزات,فانتزی و خاص,تولد,دوست
35,2,زن,پوشاک و اکسسوری,الکترونیک,الکترونیک,خلاق و هنری,چوبی,لوکس و رسمی,مناسبت فردی,خانواده
36,11,مرد,الکترونیک,پازل ها و بازی ها,ورزش و تناسب اندام,درون گرا,پارچه,مدرن,دیگر,دوست
37,12,مرد,لوازم سفر و گردشگری,پوشاک و اکسسوری,الکترونیک,برون گرا,ترکیبی,مدرن,تولد,آشنا
38,42,مرد,زیبایی و بهداشت,الکترونیک,لوازم سفر و گردشگری,خلاق و هنری,خاص,لوکس و رسمی,مناسبت فردی,دوست
39,47,مرد,الکترونیک,خانه و دکور,الکترونیک,لوکس گرا و شیک,پلاستیک,مدرن,تولد,همکار
40,24,زن,الکترونیک,الکترونیک,لوازم سفر و گردشگری,درون گرا,خاص,لوکس و رسمی,مناسبت فردی,همسر
41,44,زن,الکترونیک,پوشاک و اکسسوری,الکترونیک,احساسی و حمایتی,خاص,هنری,دیگر,دوست
42,26,مرد,پازل ها و بازی ها,الکترونیک,پازل ها و بازی ها,برون گرا,پارچه,هنری,سالگرد,خانواده
43,60,مرد,پازل ها و بازی ها,خانه و دکور,الکترونیک,منطقی و تحلیل گر,پارچه,مدرن,تولد,آشنا
44,24,زن,لوازم سفر و گردشگری,پوشاک و اکسسوری,ورزش و تناسب اندام,احساسی و حمایتی,چوبی,هنری,ارتقا کاری,آشنا
45,7,مرد,ورزش و تناسب اندام,زیبایی و بهداشت,الکترونیک,برون گرا,چوبی,طبیعت محور,عروسی,دوست
46,48,مرد,ورزش و تناسب اندام,پوشاک و اکسسوری,لوازم سفر و گردشگری,برون گرا,پارچه,مدرن,دیگر,همسر
47,3,مرد,ورزش و تناسب اندام,لوازم سفر و گردشگری,لوازم سفر و گردشگری,خلاق و هنری,چوبی,هنری,مناسبت فردی,دوست
48,61,مرد,ورزش و تناسب اندام,پازل ها و بازی ها,ورزش و تناسب اندام,ماجراجو و ورزشکار,پلاستیک,هنری,سالگرد,همکار
49,53,زن,کتاب و محصولات آموزشی,پوشاک و اکسسوری,الکترونیک,خلاق و هنری,چوبی,مدرن,سالگرد,دوست
50,66,مرد,خانه و دکور,پازل ها و بازی ها,پازل ها و بازی ها,ماجراجو و ورزشکار,پلاستیک,فانتزی و خاص,دیگر,خانواده
